animal_id,nombre_cientifico,grupo/animal,familia,tipo,Nombre_comun,categoria/extincion
11108,Pelobates cultripes,ANFIBIOS,ANURA,Pelobatidae,Sapo de espuelas,LESRPE
11490,Pelodytes ibericus (antes P. punctatus),ANFIBIOS,ANURA,Pelodytidae,Sapillo moteado iberico,LESRPE
12037,Pelodytes punctatus,ANFIBIOS,ANURA,Pelodytidae,Sapillo moteado comun,LESRPE
11128,Rana dalmatina,ANFIBIOS,ANURA,Ranidae,Rana agil,Vulnerable
11485,Rana iberica ,ANFIBIOS,ANURA,Ranidae,Rana patilarga,LESRPE
12056,Rana pyrenaica,ANFIBIOS,ANURA,Ranidae,Rana pirenaica,Vulnerable
12298,Rana temporaria,ANFIBIOS,ANURA,Ranidae,Rana bermeja,LESRPE
11903,Emys orbicularis,REPTILES,CHELONIA,Emydidae,Galapago europeo,Vulnerable
11385,Testudo graeca,REPTILES,CHELONIA,Testudinidae,Tortuga mora,Vulnerable
11434,Testudo hermanni,REPTILES,CHELONIA,Testudinidae,Tortuga mediterranea,En peligro de extincion
11585,Mauremys leprosa,REPTILES,CHELONIA,Geoemydidae,Galapago leproso,LESRPE
10970,Caretta caretta ,REPTILES,CHELONIA,Cheloniidae,Tortuga boba,Vulnerable
11801,Chelonia mydas,REPTILES,CHELONIA,Cheloniidae,Tortuga verde,LESRPE
11505,Eretmochelys imbricata,REPTILES,CHELONIA,Cheloniidae,Tortuga carey,LESRPE
11545,Lepidochelys kempii,REPTILES,CHELONIA,Cheloniidae,Tortuga golfina,LESRPE
16213,Lepidochelys olivacea,REPTILES,CHELONIA,Cheloniidae,Tortuga olivacea,LESRPE
20100,Dermochelys coriacea,REPTILES,CHELONIA,Dermochelyidae,Tortuga laud,LESRPE
10883,Chamaeleo chamaeleon,REPTILES,SAURIA,Chamaeleonidae,Camaleon comun,LESRPE
12351,Hemidactylus turcicus ,REPTILES,SAURIA,Gekkonidae,Salamanquesa rosada,LESRPE
10695,Tarentola angustimentalis,REPTILES,SAURIA,Phyllodactylidae,Perenquen majorero,LESRPE
10870,Tarentola boettgeri,REPTILES,SAURIA,Phyllodactylidae,Perenquen de Gran Canaria,LESRPE
11141,Tarentola delalandii,REPTILES,SAURIA,Phyllodactylidae,Perenquen comun,LESRPE
11379,Tarentola gomerensis,REPTILES,SAURIA,Phyllodactylidae,Perenquen gomero o Pracan,LESRPE
11692,Tarentola mauritanica,REPTILES,SAURIA,Phyllodactylidae,Salamanquesa comun,LESRPE
10827,Chalcides bedriagai,REPTILES,SAURIA,Scincidae,Eslizon iberico,LESRPE
11058,Chalcides colosii,REPTILES,SAURIA,Scincidae,Eslizon rifeno,LESRPE
12025,Chalcides pseudostriatus,REPTILES,SAURIA,Scincidae,Eslizon tridactilo del Atlas,LESRPE
12202,Chalcides sexlineatus,REPTILES,SAURIA,Scincidae,Lisa grancanaria,LESRPE
12218,Chalcides simonyi,REPTILES,SAURIA,Scincidae,Lisneja,Vulnerable
12254,Chalcides striatus (antes Chalcides chalcides),REPTILES,SAURIA,Scincidae,Eslizon tridactilo,LESRPE
12399,Chalcides viridanus,REPTILES,SAURIA,Scincidae,Lisa dorada,LESRPE
11220,Acanthodactylus erythrurus,REPTILES,SAURIA,Lacertidae,Lagartija colirroja,LESRPE
11660,Algyroides marchi,REPTILES,SAURIA,Lacertidae,Lagartija de Valverde,Vulnerable
10785,Gallotia atlantica,REPTILES,SAURIA,Lacertidae,Lagarto atlantico ,LESRPE
10875,Gallotia gomerana  ,REPTILES,SAURIA,Lacertidae,Lagarto gigante de La Gomera,En peligro de extincion
24239,Gallotia galloti insulanagae,REPTILES,SAURIA,Lacertidae,Lagarto tizon ,Vulnerable
11516,Gallotia intermedia ,REPTILES,SAURIA,Lacertidae,Lagarto gigante de Tenerife,En peligro de extincion
12219,Gallotia simonyi  ,REPTILES,SAURIA,Lacertidae,Lagarto gigante de El Hierro,En peligro de extincion
12242,Gallotia stehlini,REPTILES,SAURIA,Lacertidae,Lagarto gigante de Gran Canaria,LESRPE
10748,Iberolacerta aranica (antes Lacerta aranica),REPTILES,SAURIA,Lacertidae,Lagartija aranesa,En peligro de extincion
10712,Iberolacerta aurelioi (antes Lacerta aurelioi),REPTILES,SAURIA,Lacertidae,Lagartija pallaresa,En peligro de extincion
10726,Iberolacerta bonnali (antes Lacerta bonnali),REPTILES,SAURIA,Lacertidae,Lagartija pirenaica,Vulnerable
11123,Iberolacerta cyreni,REPTILES,SAURIA,Lacertidae,Lagartija carpetana,LESRPE
11330,Iberolacerta galani (antes incluida en Iberolacerta monticola),REPTILES,SAURIA,Lacertidae,Lagartija leonesa,Vulnerable
11682,Iberolacerta martinezricai,REPTILES,SAURIA,Lacertidae,Lagartija batueca,En peligro de extincion
11779,Iberolacerta monticola (antes Lacerta monticola) ,REPTILES,SAURIA,Lacertidae,Lagartija serrana,LESRPE
11034,Lacerta agilis,REPTILES,SAURIA,Lacertidae,Lagarto agil,En peligro de extincion
10852,Lacerta bilineata (=Lacerta viridis bilineata),REPTILES,SAURIA,Lacertidae,Lagarto verde,LESRPE
12168,Lacerta schreiberi,REPTILES,SAURIA,Lacertidae,Lagarto verdinegro,LESRPE
12385,Podarcis vaucheri (antes Podarcis hispanica),REPTILES,SAURIA,Lacertidae,Lagartija andaluza,LESRPE
11596,Podarcis lilfordi,REPTILES,SAURIA,Lacertidae,Lagartija balear,LESRPE
11794,Podarcis muralis,REPTILES,SAURIA,Lacertidae,Lagartija roquera,LESRPE
11995,Podarcis pityusensis,REPTILES,SAURIA,Lacertidae,Lagartija de las Pitiusas,LESRPE
12208,Podarcis sicula,REPTILES,SAURIA,Lacertidae,Lagartija italiana,LESRPE
10670,Psammodromus algirus,REPTILES,SAURIA,Lacertidae,Lagartija colilarga,LESRPE
11461,Psammodromus hispanicus,REPTILES,SAURIA,Lacertidae,Lagartija cenicienta,LESRPE
11582,Timon lepidus (antes Lacerta lepida),REPTILES,SAURIA,Lacertidae,Lagarto ocelado,LESRPE
12291,Timon tangitanus (antes Lacerta tangitana),REPTILES,SAURIA,Lacertidae,Lagarto ocelado del Atlas,LESRPE
12411,Zootoca vivipara,REPTILES,SAURIA,Lacertidae,Lagartija de turbera,LESRPE
11301,Anguis fragilis ,REPTILES,SAURIA,Anguidae,Lucion,LESRPE
10901,Blanus cinereus,REPTILES,SAURIA,Blanidae,Culebrilla ciega ,LESRPE
12320,Blanus tingitanus,REPTILES,SAURIA,Blanidae,Culebrilla ciega de Tanger,LESRPE
12426,Trogonophis wiegmanni elegans ,REPTILES,SAURIA,Trogonophidae,Culebrilla mora,LESRPE
10718,Coronella austriaca,REPTILES,OPHIDIA,Colubridae,Culebra lisa europea,LESRPE
11362,Coronella girondica ,REPTILES,OPHIDIA,Colubridae,Culebra lisa meridional,LESRPE
11448,Hemorrhois hippocrepis (antes Coluber hippocrepis),REPTILES,OPHIDIA,Colubridae,Culebra de herradura,LESRPE
12402,Hierophis viridiflavus (antes Coluber viridiflavus) ,REPTILES,OPHIDIA,Colubridae,Culebra verdiamarilla,LESRPE
10913,Macroprotodon brevis (antes M. cucullatus),REPTILES,OPHIDIA,Colubridae,Culebra de cogulla occidental,LESRPE
11696,Macroprotodon mauritanicus (antes M. cucullatus),REPTILES,OPHIDIA,Colubridae,Culebra de cogulla oriental,LESRPE
11688,Natrix maura  ,REPTILES,OPHIDIA,Colubridae,Culebra viperina,LESRPE
11815,Natrix natrix,REPTILES,OPHIDIA,Colubridae,Culebra de collar,LESRPE
11616,Zamenis longissimus (antes Elaphe longissima) ,REPTILES,OPHIDIA,Colubridae,Culebra de Esculapio,LESRPE
33095,Rhinechis scalaris (antes Elaphe scalaris),REPTILES,OPHIDIA,Colubridae,Culebra de escalera,LESRPE
11567,Vipera latastei,REPTILES,OPHIDIA,Viperidae,Vibora hocicuda,LESRPE
13998,Gavia arctica,AVES,GAVIIFORMES,Gaviidae,Colimbo artico,LESRPE
14000,Gavia immer,AVES,GAVIIFORMES,Gaviidae,Colimbo grande,LESRPE
13997,Gavia stellata,AVES,GAVIIFORMES,Gaviidae,Colimbo chico,LESRPE
14003,Podiceps auritus,AVES,PODICIPEDIFORMES,Podicipedidae,Zampullin cuellirrojo,LESRPE
14001,Podiceps cristatus,AVES,PODICIPEDIFORMES,Podicipedidae,Somormujo lavanco,LESRPE
14004,Podiceps nigricollis,AVES,PODICIPEDIFORMES,Podicipedidae,Zampullin cuellinegro,LESRPE
12121,Tachybaptus ruficollis,AVES,PODICIPEDIFORMES,Podicipedidae,Zampullin comun,LESRPE
14010,Bulweria bulwerii,AVES,PROCELLARIIFORMES,Procellariidae,Petrel de Bulwer,LESRPE
32348,Calonectris borealis,AVES,PROCELLARIIFORMES,Procellariidae,Pardela cenicienta atlantica,LESRPE
11166,Calonectris diomedea diomedea,AVES,PROCELLARIIFORMES,Procellariidae,Pardela cenicienta,Vulnerable
14006,Fulmarus glacialis,AVES,PROCELLARIIFORMES,Procellariidae,Fulmar boreal,LESRPE
14019,Puffinus assimilis ,AVES,PROCELLARIIFORMES,Procellariidae,Pardela chica,Vulnerable
33031,Puffinus gravis,AVES,PROCELLARIIFORMES,Procellariidae,Pardela capirotada,LESRPE
33032,Puffinus griseus,AVES,PROCELLARIIFORMES,Procellariidae,Pardela sombria,LESRPE
11691,Puffinus mauretanicus,AVES,PROCELLARIIFORMES,Procellariidae,Pardela balear,En peligro de extincion
12029,Puffinus puffinus,AVES,PROCELLARIIFORMES,Procellariidae,Pardela pichoneta,Vulnerable
12433,Puffinus yelkouan,AVES,PROCELLARIIFORMES,Procellariidae,Pardela mediterranea,LESRPE
14023,Hydrobates pelagicus,AVES,PROCELLARIIFORMES,Hydrobatidae,Paino europeo,LESRPE
33016,Oceanodroma castro,AVES,PROCELLARIIFORMES,Hydrobatidae,Paino de Madeira,Vulnerable
33149,Oceanodroma leucorhoa,AVES,PROCELLARIIFORMES,Hydrobatidae,Paino boreal,LESRPE
14021,Pelagodroma marina,AVES,PROCELLARIIFORMES,Hydrobatidae,"Paino pechialbo, Bailarin",Vulnerable
79207,Phaethon aethereus mesonauta,AVES,PHAETONTIFORMES,Phaetontidae,Rabijunco etereo,LESRPE
80933,Phalacrocorax aristotelis  ,AVES,PELECANIFORMES,Phalacrocoridae,Cormoran monudo,Vulnerable
14031,Morus bassanus,AVES,PELECANIFORMES,Sulidae,Alcatraz atlantico,LESRPE
10896,Ardea cinerea,AVES,CICONIFORMES,Ardeidae,Garza real,LESRPE
12041,Ardea purpurea,AVES,CICONIFORMES,Ardeidae,Garza imperial,LESRPE
12081,Ardeola ralloides  ,AVES,CICONIFORMES,Ardeidae,Garcilla cangrejera,Vulnerable
11496,Bubulcus ibis,AVES,CICONIFORMES,Ardeidae,Garcilla bueyera,LESRPE
12243,Botaurus stellaris  ,AVES,CICONIFORMES,Ardeidae,Avetoro comun,En peligro de extincion
23748,Egretta alba,AVES,CICONIFORMES,Ardeidae,Garceta grande,LESRPE
11340,Egretta garzetta,AVES,CICONIFORMES,Ardeidae,Garceta comun,LESRPE
11750,Ixobrychus minutus,AVES,CICONIFORMES,Ardeidae,Avetorillo comun,LESRPE
11870,Nycticorax nycticorax,AVES,CICONIFORMES,Ardeidae,Martinete comun,LESRPE
10891,Ciconia ciconia,AVES,CICONIFORMES,Ciconidae,Ciguena blanca,LESRPE
11841,Ciconia nigra  ,AVES,CICONIFORMES,Ciconidae,Ciguena negra,Vulnerable
16288,Geronticus eremita,AVES,CICONIFORMES,Threskiornithidae,Ibis eremita,LESRPE
11590,Platalea leucorodia,AVES,CICONIFORMES,Threskiornithidae,Espatula comun,LESRPE
11247,Plegadis falcinellus,AVES,CICONIFORMES,Threskiornithidae,Morito comun,LESRPE
12107,Phoenicopterus (ruber) roseus,AVES,PHOENICOPTERIFORMES,Phoenicopteridae,Flamenco comun,LESRPE
16270,Aythya marila,AVES,ANSERIFORMES,Anatidae,Porron bastardo,LESRPE
11871,Aythya nyroca  ,AVES,ANSERIFORMES,Anatidae,Porron pardo,En peligro de extincion
16260,Branta bernicla,AVES,ANSERIFORMES,Anatidae,Barnacla carinegra,LESRPE
16259,Branta leucopsis,AVES,ANSERIFORMES,Anatidae,Barnacla cariblanca,LESRPE
13992,Bucephala clangula,AVES,ANSERIFORMES,Anatidae,Porron osculado,LESRPE
10699,Marmaronetta angustirostris,AVES,ANSERIFORMES,Anatidae,Cerceta pardilla,En peligro de extincion
11589,Oxyura leucocephala,AVES,ANSERIFORMES,Anatidae,Malvasia cabeciblanca,En peligro de extincion
11261,Tadorna ferruginea,AVES,ANSERIFORMES,Anatidae,Tarro canelo,LESRPE
12286,Tadorna tadorna,AVES,ANSERIFORMES,Anatidae,Tarro blanco,LESRPE
11421,Pandion haliaetus,AVES,FALCONIFORMES,Pandionidae,Aguila pescadora,Vulnerable
11351,Accipiter gentilis,AVES,FALCONIFORMES,Accipitridae,Azor comun,LESRPE
11849,Accipiter nisus,AVES,FALCONIFORMES,Accipitridae,Gavilan comun,LESRPE
11768,Aegypius monachus,AVES,FALCONIFORMES,Accipitridae,Buitre negro,Vulnerable
11014,Aquila adalberti  ,AVES,FALCONIFORMES,Accipitridae,Aguila imperial iberica,En peligro de extincion
10888,Aquila chrysaetos,AVES,FALCONIFORMES,Accipitridae,Aguila real,LESRPE
10922,Buteo buteo,AVES,FALCONIFORMES,Accipitridae,Ratonero comun,LESRPE
11336,Circaetus gallicus,AVES,FALCONIFORMES,Accipitridae,Aguila culebrera,LESRPE
11024,Circus aeruginosus,AVES,FALCONIFORMES,Accipitridae,Aguilucho lagunero occidental,LESRPE
11120,Circus cyaneus,AVES,FALCONIFORMES,Accipitridae,Aguilucho palido,LESRPE
12048,Circus pygargus  ,AVES,FALCONIFORMES,Accipitridae,Aguilucho cenizo,Vulnerable
10930,Elanus caeruleus,AVES,FALCONIFORMES,Accipitridae,Elanio comun,LESRPE
10822,Gypaetus barbatus,AVES,FALCONIFORMES,Accipitridae,Quebrantahuesos,En peligro de extincion
11313,Gyps fulvus,AVES,FALCONIFORMES,Accipitridae,Buitre leonado,LESRPE
16302,Hieraaetus fasciatus  ,AVES,FALCONIFORMES,Accipitridae,Aguila perdicera,Vulnerable
11959,Hieraaetus pennatus,AVES,FALCONIFORMES,Accipitridae,Aguila calzada,LESRPE
11735,Milvus migrans,AVES,FALCONIFORMES,Accipitridae,Milano negro,LESRPE
11737,Milvus milvus ,AVES,FALCONIFORMES,Accipitridae,Milano real,En peligro de extincion
11961,Neophron percnopterus  ,AVES,FALCONIFORMES,Accipitridae,Alimoche comun,Vulnerable
23776,Neophron percnopterus majorensis,AVES,FALCONIFORMES,Accipitridae,Alimoche canario,En peligro de extincion
10739,Pernis apivorus,AVES,FALCONIFORMES,Accipitridae,Halcon abejero,LESRPE
11059,Falco columbarius,AVES,FALCONIFORMES,Falconidae,Esmerejon,LESRPE
11198,Falco eleonorae,AVES,FALCONIFORMES,Falconidae,Halcon de Eleonora,LESRPE
11817,Falco naumanni,AVES,FALCONIFORMES,Falconidae,Cernicalo primilla,LESRPE
32346,Falco peregrinus pelegrinoides,AVES,FALCONIFORMES,Falconidae,Halcon tagarote,En peligro de extincion
11963,Falco peregrinus,AVES,FALCONIFORMES,Falconidae,Halcon peregrino,LESRPE
12262,Falco subbuteo,AVES,FALCONIFORMES,Falconidae,Alcotan europeo,LESRPE
12321,Falco tinnunculus,AVES,FALCONIFORMES,Falconidae,Cernicalo comun,LESRPE
16303,Falco vespertinus,AVES,FALCONIFORMES,Falconidae,Cernicalo patirrojo,LESRPE
24333,Perdix perdix hispaniensis,AVES,GALLIFORMES,Phasianidae,Perdiz pardilla,En peligro de extincion
16275,Bonasa bonasia ,AVES,GALLIFORMES,Phasianidae,Grevol,LESRPE
11800,Lagopus muta,AVES,GALLIFORMES,Phasianidae,Lagopodo alpino,Vulnerable
12372,Tetrao urogallus aquitanicus,AVES,GALLIFORMES,Phasianidae,Urogallo pirenaico,En peligro de extincion
12372,Tetrao urogallus cantabricus,AVES,GALLIFORMES,Phasianidae,Urogallo cantabrico,En peligro de extincion
16315,Grus grus,AVES,GRUIFORMES,Gruidae,Grulla comun,LESRPE
16310,Crex crex,AVES,GRUIFORMES,Rallidae,Guion de codornices,LESRPE
11101,Fulica cristata,AVES,GRUIFORMES,Rallidae, Focha cornuda o moruna,En peligro de extincion
12013,Porphyrio porphyrio,AVES,GRUIFORMES,Rallidae,Calamon comun,LESRPE
33069,Porzana parva,AVES,GRUIFORMES,Rallidae,Polluela bastarda,LESRPE
12014,Porzana porzana,AVES,GRUIFORMES,Rallidae,Polluela pintoja,LESRPE
33067,Porzana pusilla,AVES,GRUIFORMES,Rallidae,Polluela chica,LESRPE
12363,Chlamydotis undulata ,AVES,GRUIFORMES,Otididae,Avutarda hubara,En peligro de extincion
12292,Otis tarda,AVES,GRUIFORMES,Otididae,Avutarda comun,LESRPE
12312,Tetrax tetrax,AVES,GRUIFORMES,Otididae,Sison comun,En peligro de extincion
11917,Haematopus ostralegus,AVES,CHARADRIIFORMES,Haematopodidae,Ostrero euroasiatico,LESRPE
11446,Himantopus himantopus,AVES,CHARADRIIFORMES,Recurvirostridae,Ciguenuela comun,LESRPE
10801,Recurvirostra avosetta,AVES,CHARADRIIFORMES,Recurvirostridae,Avoceta comun,LESRPE
11889,Burhinus oedicnemus distinctus,AVES,CHARADRIIFORMES,Burhinidae,Alcaravan comun,Vulnerable
28443,Burhinus oedicnemus oedicnemus/insularum,AVES,CHARADRIIFORMES,Burhinidae,"Alcaravan comun, Alcaravan majorero",LESRPE
11113,Cursorius cursor,AVES,CHARADRIIFORMES,Glareolidae,Engana,Vulnerable
12021,Glareola pratincola,AVES,CHARADRIIFORMES,Glareolidae,Canastera comun,LESRPE
10664,Charadrius alexandrinus,AVES,CHARADRIIFORMES,Charadriidae,Chorlitejo patinegro,Vulnerable
11179,Charadrius dubius,AVES,CHARADRIIFORMES,Charadriidae,Chorlitejo chico,LESRPE
11442,Charadrius hiaticula,AVES,CHARADRIIFORMES,Charadriidae,Chorlitejo grande,LESRPE
11787,Charadrius (Eudromias) morinellus ,AVES,CHARADRIIFORMES,Charadriidae,Chorlito carambolo,Vulnerable
10741,Pluvialis apricaria,AVES,CHARADRIIFORMES,Charadriidae,Chorlito dorado europeo,LESRPE
12240,Pluvialis squatarola   ,AVES,CHARADRIIFORMES,Charadriidae,Chorlito gris,LESRPE
11484,Actitis hypoleucos  ,AVES,CHARADRIIFORMES,Scolopacidae,Andarrios chico,LESRPE
11519,Arenaria interpres,AVES,CHARADRIIFORMES,Scolopacidae,Vuelvepiedras comun,LESRPE
10649,Calidris alba,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos tridactilo,LESRPE
10678,Calidris alpina,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos comun ,LESRPE
10957,Calidris canutus,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos gordo,LESRPE
11262,Calidris ferruginea,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos zarapitin,LESRPE
16339,Calidris maritima,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos oscuro,LESRPE
11745,Calidris minuta,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos menudo,LESRPE
16333,Calidris temminckii,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos de Temminck,LESRPE
11564,Limosa lapponica,AVES,CHARADRIIFORMES,Scolopacidae,Aguja colipinta,LESRPE
11600,Limosa limosa,AVES,CHARADRIIFORMES,Scolopacidae,Aguja colinegra,LESRPE
10763,Numenius arquata,AVES,CHARADRIIFORMES,Scolopacidae,Zarapito real,En peligro de extincion
11974,Numenius phaeopus  ,AVES,CHARADRIIFORMES,Scolopacidae,Zarapito trinador,LESRPE
16347,Numenius tenuirostris ,AVES,CHARADRIIFORMES,Scolopacidae,Zarapito fino,LESRPE
14040,Phalaropus fulicarius,AVES,CHARADRIIFORMES,Scolopacidae,Faloropo picogrueso,LESRPE
14039,Phalaropus lobatus,AVES,CHARADRIIFORMES,Scolopacidae,Faloropo picofino,LESRPE
33046,Philomachus pugnax,AVES,CHARADRIIFORMES,Scolopacidae,Combatiente,LESRPE
11219,Tringa erythropus   ,AVES,CHARADRIIFORMES,Scolopacidae,Archibebe oscuro,LESRPE
11370,Tringa glareola,AVES,CHARADRIIFORMES,Scolopacidae,Andarrios bastardo,LESRPE
11825,Tringa nebularia  ,AVES,CHARADRIIFORMES,Scolopacidae,Archibebe claro,LESRPE
11885,Tringa ochropus,AVES,CHARADRIIFORMES,Scolopacidae,Andarrios grande,LESRPE
12241,Tringa stagnatilis,AVES,CHARADRIIFORMES,Scolopacidae,Archibebe fino,LESRPE
12329,Tringa totanus,AVES,CHARADRIIFORMES,Scolopacidae,Archibebe comun,LESRPE
14042,Stercorarius parasiticus  ,AVES,CHARADRIIFORMES,Stercorariidae,Pagalo parasito,LESRPE
14041,Stercorarius pomarinus  ,AVES,CHARADRIIFORMES,Stercorariidae,Pagalo pomarino,LESRPE
14044,Stercorarius skua  ,AVES,CHARADRIIFORMES,Stercorariidae,Pagalo grande,LESRPE
14053,Larus audouinii,AVES,CHARADRIIFORMES,Laridae,Gaviota de Audouin,Vulnerable
14056,Larus canus,AVES,CHARADRIIFORMES,Laridae,Gaviota cana,LESRPE
16358,Larus genei,AVES,CHARADRIIFORMES,Laridae,Gaviota picofina,LESRPE
